pmid,year,title,authors,journal,category,tags,doi,pmc,url
41080989,2026,First-in-human e-Flash radiotherapy using a modified conventional C-arm linear accelerator.,von der Grün J; Dal Bello R; Psoroulas S; Krayenbuehl J; Fesslmeier D; Ramelyte E; Mangana J; Smith W; Vilalta M; Tirpak L; Sharma RA; Guckenberger M; Tanadini-Lang S; Balermpas P,Clinical and translational radiation oncology,Clinical & Translational,Clinical & Translational; Beam Delivery & Technology; Radiobiology; Physics & Dosimetry,10.1016/j.ctro.2025.101047,PMC12509727,https://pubmed.ncbi.nlm.nih.gov/41080989/
41080987,2026,Quantifying the flash effect and its dependence on average dose rate in vivo for 6 MeV electron and 6 MV photon beams.,Paillas S; Taylor ERJF; Lövgren N; Tullis IDC; Petersson K,Clinical and translational radiation oncology,Radiobiology,Radiobiology,10.1016/j.ctro.2025.101052,PMC12508565,https://pubmed.ncbi.nlm.nih.gov/41080987/
41077309,2026,Investigating the FLASH Effect in a Rat Brain Organotypic Model With a Novel High-Energy Electron Beam.,Kay TV; Price AL; Sprenger M; Radosova VJP; Thompson A; Martin EL; Dunn D; Popov V; Mikhailov S; Reitman ZJ; Wu YK; Floyd SR; Oldham M,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Beam Delivery & Technology; Physics & Dosimetry; Modeling & Mechanisms,10.1016/j.ijrobp.2025.09.057,PMC12713153,https://pubmed.ncbi.nlm.nih.gov/41077309/
41049393,2026,No differences in therapeutic efficacy while sparing healthy tissue for orthotopic glioblastoma patient-derived xenografts in context of proton FLASH.,Schanel TL; Kumar M; Nassour-Caswell LC; Cherakara S; Pandit R; Beierle AM; Anderson JC; Hicks PH; Cardan R; Hjelmeland AB; Willey CD,Clinical and translational radiation oncology,Radiobiology,Radiobiology,10.1016/j.ctro.2025.101050,PMC12489934,https://pubmed.ncbi.nlm.nih.gov/41049393/
41046060,2026,Timescale of FLASH Sparing Effect Determined by Varying Temporal Split of Dose Delivery in Mice.,Sunnerberg JP; Hunter DI; Sloop AM; Tavakkoli AD; Bruza P; Zhang R; Gui J; Jarvis LA; Swartz HM; Gladstone DJ; Hoopes PJ; Pogue BW,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Modeling & Mechanisms,10.1016/j.ijrobp.2025.09.052,PMC13373776,https://pubmed.ncbi.nlm.nih.gov/41046060/
41003674,2026,In vitro oxygen concentration alters reactive oxygen species yields with minor plasmid DNA damage change at ultra-high-dose rate.,Thomas WS; Kulkarni S; Ilina A; Reed M; Pogue BW,The British journal of radiology,Radiobiology,Radiobiology; Modeling & Mechanisms,10.1093/bjr/tqaf245,PMC13187922,https://pubmed.ncbi.nlm.nih.gov/41003674/
40878442,2026,Not all tumors are alike: varying efficacy of FLASH across tumor types and oxygenation status in spheroid models.,Dela R; Lemos Da Silva L; Beyer S; Singers Sørensen B; Poulsen P; Konradsson E; Hörberger F; Petersson K; Ceberg C; Adrian G,The British journal of radiology,Radiobiology,Radiobiology,10.1093/bjr/tqaf219,,https://pubmed.ncbi.nlm.nih.gov/40878442/
41487594,2025,The impact of dose rate optimisation and robust optimisation on FLASH proton therapy treatment plan quality and dose rates.,Lövgren N; Nilsson R; Traneus E; Petersson K,Frontiers in oncology,Treatment Planning & Optimization,Treatment Planning & Optimization; Radiobiology,10.3389/fonc.2025.1638319,PMC12757242,https://pubmed.ncbi.nlm.nih.gov/41487594/
41477292,2025,Experimental design and control methods for dose rate optimization in a synchrotron-based proton therapy beamline.,Tang J; Liu D; Mathew J; Campelo S; Bronk L; Taylor P; Li Y; Guan F,Precision radiation oncology,Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Modeling & Mechanisms; Beam Delivery & Technology; Treatment Planning & Optimization,10.1002/pro6.70032,PMC12750309,https://pubmed.ncbi.nlm.nih.gov/41477292/
41473430,2025,Correction: Influence factor and mechanism of FLASH effect.,Feng T; He T; Ye W; Xiang L,Frontiers in oncology,Radiobiology,Radiobiology,10.3389/fonc.2025.1761396,PMC12746125,https://pubmed.ncbi.nlm.nih.gov/41473430/
41462877,2025,"From Semantic Modeling to Precision Radiotherapy: An AI Framework Linking Radiobiology, Oncology, and Public Health Integration.",de Souza FG; Aliaga JM; Duarte PC; Crispilho S; Delfino C; Brandão D; Zamprogno E Silva F,Biomedicines,Reviews & Consensus,Reviews & Consensus; Modeling & Mechanisms; Radiobiology,10.3390/biomedicines13122862,PMC12730318,https://pubmed.ncbi.nlm.nih.gov/41462877/
41441383,2025,3D Imaging of Proton FLASH Radiation Using a Multi-Detector Small Animal PET System.,Li W; Zhong Y; Lai Y; Yin L; Sforza D; Miles D; Li H; Jia X,"Tomography (Ann Arbor, Mich.)",Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Physics & Dosimetry,10.3390/tomography11120131,PMC12737159,https://pubmed.ncbi.nlm.nih.gov/41441383/
41437387,2025,Preclinical validation of a clinical prototype of intraoperative electron FLASH radiotherapy equipment: key evidence for a new radiotherapy paradigm.,Hao X; Du H; Lin B; Xia Y; Tang M; Wu W; Wang D; Zhu Y; Zhang Y; Wang J; Yang Y; Wu D; Du X,"Radiation oncology (London, England)",Radiobiology,Radiobiology; Clinical & Translational,10.1186/s13014-025-02781-x,PMC12829257,https://pubmed.ncbi.nlm.nih.gov/41437387/
41401511,2025,Electron spin resonance measurements of radiation-induced radicals under conventional and ultra-high dose rate electron irradiation.,Pehlivan J; Beyreuther E; Horst F; Nasse MJ; Pawelke J; Leichtle D; Jäkel O; Holzapfel B,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Beam Delivery & Technology; Physics & Dosimetry,10.1088/1361-6560/ae2db6,,https://pubmed.ncbi.nlm.nih.gov/41401511/
41395701,2025,Equivalent constant dose rate as a unifying dose rate concept for FLASH across all beam time structures.,Poulsen PR; Sørensen BS; Kristensen L; Johansen JG,Medical physics,Radiobiology,Radiobiology; Beam Delivery & Technology,10.1002/mp.70205,,https://pubmed.ncbi.nlm.nih.gov/41395701/
41383043,2025,Cytogenetic Effects of Conventional and Ultra High Dose Rates of Radiation in Human Lymphocytes: Comparative Analysis in Metaphase Chromosomes and G2-PCCs.,Escalona MB; Ryan TL; Gross SR; Iddins CJ; Turner HC; Balajee AS,Disaster medicine and public health preparedness,Radiobiology,Radiobiology,10.1017/dmp.2025.10093,PMC12926731,https://pubmed.ncbi.nlm.nih.gov/41383043/
41377978,2025,Advancing Proton Therapy: Integration of Minibeam Spatial Fractionation and FLASH Dose Rates.,Lin Y; Wu W; Setianegara J; Wang A; Gerard N; Nys J; Gan G; Gao H,Research square,Modeling & Mechanisms,Modeling & Mechanisms; Clinical & Translational; Radiobiology; Physics & Dosimetry,10.21203/rs.3.rs-8116270/v1,PMC12687803,https://pubmed.ncbi.nlm.nih.gov/41377978/
41376535,2025,Pulse-by-pulse ultra-high resolution scintillation imaging of proton FLASH beams produced by a gantry-mounted synchrocyclotron.,Goddu SM; Holloingsworth S; Green W; Goddu M; Mazur TR; Owen D; Zhang H; Hao Y; Perkins SM; Darafsheh A,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Radiobiology,10.1088/1361-6560/ae25b3,PMC12696583,https://pubmed.ncbi.nlm.nih.gov/41376535/
41372430,2025,Carbon ion FLASH irradiation reduces acute skin toxicity compared with conventional dose rate irradiation.,Yoshida Y; Suda H; Tashiro M; Yusa K; Nakao M; Ando K; Takahashi A; Ohno T,Scientific reports,Radiobiology,Radiobiology; Beam Delivery & Technology,10.1038/s41598-025-32014-w,PMC12816662,https://pubmed.ncbi.nlm.nih.gov/41372430/
41364976,2025,Validation of a FLASH-ready 25 MeV proton beamline for preclinical radiobiology experiments.,Simonin G; Jbara R; Pellicioli M; Schuler J; Brasse D; Rousseau M,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Radiobiology; Beam Delivery & Technology,10.1088/1361-6560/ae2aa2,,https://pubmed.ncbi.nlm.nih.gov/41364976/
41360067,2025,Towards real-time beam monitoring and quality assurance of proton beams using radioluminescent silica fiber.,Grandvillain M; Mady F; Hofverberg P; Angellier G; Mélin G; Benabdesselam M; Herault J; Vidal M,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology,10.1088/1361-6560/ae29e3,,https://pubmed.ncbi.nlm.nih.gov/41360067/
41360066,2025,Including medium effects and longer temporal scales in TRAX-CHEMxt.,Camazzola G; Boscolo D; Abram V; Scifoni E; Dorn A; Durante M; Krämer M; Fuss MC,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Physics & Dosimetry,10.1088/1361-6560/ae29e1,,https://pubmed.ncbi.nlm.nih.gov/41360066/
41357610,2025,Range quality assurance measurements for clinical and FLASH proton beam therapy using the quality assurance range calorimeter.,Shaikh S; Escribano-Rodriguez S; Radogna R; Saakyan R; Manger S; Henthorn N; Warmenhoven JW; Taylor M; Jolly S,Frontiers in oncology,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology,10.3389/fonc.2025.1622231,PMC12678157,https://pubmed.ncbi.nlm.nih.gov/41357610/
41344028,2025,Dosimetry and chemical yield analysis of metal nanoparticles in FLASH radiotherapy: a Monte Carlo study.,Fardirad S; Ghasemizad A; Abolfath R,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Physics & Dosimetry; Clinical & Translational; Radiobiology,10.1088/1361-6560/ae281d,,https://pubmed.ncbi.nlm.nih.gov/41344028/
41330730,2025,Proton pencil beam scanning ultra-high dose rate 3D lattice radiotherapy: A proof-of-concept FLASH SFRT study.,Wei S; Qi H; Xu L; Selvaraj B; Zhao X; Zheng A; Vermeulen M; Lee NY; Bakst R; Guha C; Tsai P; Kang M; Wu X; Yacoub I; Choi JI; Chhabra A; Simone CB; Lin H,Medical physics,Treatment Planning & Optimization,Treatment Planning & Optimization; Physics & Dosimetry; Radiobiology; Beam Delivery & Technology,10.1002/mp.70187,,https://pubmed.ncbi.nlm.nih.gov/41330730/
41328268,2025,Towards Clinical Translation: Establishing Optimal Dose and Dose-Rate Parameters for the FLASH Skin-Sparing Effect.,Shen Y; Zhou J; Lang J; Li L; Li Y; Yang C; Wang S; Chen X; Xie S; Tang W; Lu S,Dose-response : a publication of International Hormesis Society,Radiobiology,Radiobiology; Clinical & Translational,10.1177/15593258251401947,PMC12665010,https://pubmed.ncbi.nlm.nih.gov/41328268/
41320783,2025,Seeing the invisible: In vivo dosimetry in radiotherapy with radiacoustic IMAGING.,Bjegovic K; Ren L; Chen Y; Schüler E; Xing L; Xiang SL,Medical physics,Reviews & Consensus,Reviews & Consensus; Physics & Dosimetry; Treatment Planning & Optimization; Radiobiology,10.1002/mp.70165,PMC12767473,https://pubmed.ncbi.nlm.nih.gov/41320783/
41316733,2025,Joint range-modulator and spot optimization for Bragg-peak proton FLASH radiotherapy.,Han J; Wang A; Zhu YN; Li W; Lin Y; Gao H,Medical physics,Treatment Planning & Optimization,Treatment Planning & Optimization; Physics & Dosimetry; Radiobiology; Clinical & Translational; Beam Delivery & Technology,10.1002/mp.70171,,https://pubmed.ncbi.nlm.nih.gov/41316733/
41316325,2025,Partial abdominal carbon-ion FLASH irradiation spares lethality compared to conventional irradiation: impact of LET and dose rate.,Cao W; Yoshida Y; Suda H; Inagaki S; Urabe N; Nakao M; Yusa K; Meng X; Tashiro M; Takahashi A; Ohno T,"Radiation oncology (London, England)",Radiobiology,Radiobiology,10.1186/s13014-025-02765-x,PMC12699875,https://pubmed.ncbi.nlm.nih.gov/41316325/
41313815,2025,VHEE-SSB grid: spot-scanning beam enabled spatially fractionated and FLASH radiotherapy with very high energy electron beams.,An C; Dai Z; Dai Z; Li J; Tan X; Jia Y; Jiang D; Liu H; Nie Y,Physics in medicine and biology,Beam Delivery & Technology,Beam Delivery & Technology; Modeling & Mechanisms,10.1088/1361-6560/ae25b1,,https://pubmed.ncbi.nlm.nih.gov/41313815/
41310797,2025,Exploring the mechanisms of protective effect of high-energy X-ray FLASH radiotherapy on intestine through multi omics analysis.,Du H; Lin B; Zhu Y; Hao X; Tang M; Wu W; Wang D; Yang Y; Liang Y; Tang W; Xu H; Li J; Gao F; Du X,"Radiation oncology (London, England)",Radiobiology,Radiobiology; Modeling & Mechanisms,10.1186/s13014-025-02763-z,PMC12659162,https://pubmed.ncbi.nlm.nih.gov/41310797/
41300528,2025,Factors Influencing the Biological Effects of FLASH Irradiation.,Glukhov SI; Kuznetsova EA; Akulinichev SV,"Antioxidants (Basel, Switzerland)",Reviews & Consensus,Reviews & Consensus; Clinical & Translational; Radiobiology; Modeling & Mechanisms,10.3390/antiox14111372,PMC12649391,https://pubmed.ncbi.nlm.nih.gov/41300528/
41294814,2025,Radiation Without Borders: Unraveling Bystander and Non-Targeted Effects in Oncology.,Ramamurthy MO; Subramanian P; Aravindan S; Periyasamy L; Aravindan N,Cells,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms,10.3390/cells14221761,PMC12651775,https://pubmed.ncbi.nlm.nih.gov/41294814/
41279465,2025,Intermediate tissue oxygen level is required to observe murine FLASH skin sparing.,Hunter DI; Sunnerberg JP; Tavakkoli AD; Sloop AM; Allen B; Gui J; Cao X; Zhang R; Swartz HM; Gladstone DJ; Jarvis LA; Hoopes PJ; Pogue BW,bioRxiv : the preprint server for biology,Radiobiology,Radiobiology; Beam Delivery & Technology; Modeling & Mechanisms,10.1101/2025.10.06.680759,PMC12632643,https://pubmed.ncbi.nlm.nih.gov/41279465/
41278487,2025,Comparison of protons and very high-energy electrons transmission pencil-beam-scanning for FLASH radiotherapy.,Gesualdi F; Ermeneux L; Lansonneur P; Sitarz M; Loap P; Créhange G; Magliari A; De Marzi L,Physics and imaging in radiation oncology,Beam Delivery & Technology,Beam Delivery & Technology; Treatment Planning & Optimization; Radiobiology,10.1016/j.phro.2025.100860,PMC12639469,https://pubmed.ncbi.nlm.nih.gov/41278487/
41278486,2025,New modalities for ultra-high dose rate irradiation and FLASH experiments.,Adrian G; Moeckli R; Beyreuther E; Muren LP; Sørensen BS,Physics and imaging in radiation oncology,Perspectives & Commentary,Perspectives & Commentary,10.1016/j.phro.2025.100861,PMC12639323,https://pubmed.ncbi.nlm.nih.gov/41278486/
41278052,2025,Retraction: Flash Therapy for Cancer: A Potentially New Radiotherapy Methodology.,Polevoy GG; Kumar DS; Daripelli S; Prasanna M,Cureus,Perspectives & Commentary,Perspectives & Commentary,10.7759/cureus.r201,PMC12630383,https://pubmed.ncbi.nlm.nih.gov/41278052/
41272383,2025,Equilibrium state dynamics-based modeling of temporal dose delivery dependencies of FLASH skin sparing.,Böhlen TT; Grilj V; Sesink A; Devanand P; Sørensen BS; Poulsen P; Soutter L; Germond JF; Bailat C; Bochud F; Herrera FG; Moeckli R,Medical physics,Radiobiology,Radiobiology; Modeling & Mechanisms; Clinical & Translational,10.1002/mp.70143,PMC12638282,https://pubmed.ncbi.nlm.nih.gov/41272383/
41270160,2025,Stable electron-irradiated [1-13C]alanine radicals for metabolic imaging with dynamic nuclear polarization.,Rooney CHE; Lau JYC; Hansen ESS; Christensen NV; Dang DA; Petersson K; Tullis IDC; Vojnovic B; Smart S; Myers W; Richardson Z; Lewis J; Kennedy BWC; Bowen AM; Bertelsen LB; Laustsen C; Tyler DJ; Miller JJ,Science advances,Modeling & Mechanisms,Modeling & Mechanisms; Physics & Dosimetry,10.1126/sciadv.adz4334,PMC12637281,https://pubmed.ncbi.nlm.nih.gov/41270160/
41261084,2025,Ultra-high dose rate carbon-ion irradiation does not preferentially spare normal tissue in the gastrointestinal tract.,Kasamatsu K; Shimokawa T; Masuda T; Tsuruoka C; Morioka T; Imaoka T; Sato S; Suzuki S; Mizushima K; Tanaka S; Kokubo T; Inaniwa T,Medical physics,Radiobiology,Radiobiology; Physics & Dosimetry; Clinical & Translational,10.1002/mp.70139,,https://pubmed.ncbi.nlm.nih.gov/41261084/
41258197,2025,No specific impact of ultra-high dose rates on radiation-induced chromosome rearrangements.,Pobiega S; Drevet Mulard E; Ménard V; Ristic Y; Trompier F; Gruel G; Marcand S,Scientific reports,Modeling & Mechanisms,Modeling & Mechanisms,10.1038/s41598-025-24485-8,PMC12630771,https://pubmed.ncbi.nlm.nih.gov/41258197/
41253689,2025,Commissioning of a gantry-mounted synchrocyclotron for preclinical FLASH studies utilizing spread-out Bragg peaks.,Lowe M; Zhang H; Owen D; Darafsheh A; Zhao T,Journal of applied clinical medical physics,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Radiobiology; Treatment Planning & Optimization,10.1002/acm2.70357,PMC12626749,https://pubmed.ncbi.nlm.nih.gov/41253689/
41248557,2025,FLASH effect is diminished by daily fractionation of electron RT in mouse skin.,Ilina A; Thomas WS; Cao X; Reed MS; Jarvis K; van der Kogel A; van Asselt N; Culberson WS; Pogue BW,Physics in medicine and biology,Radiobiology,Radiobiology,10.1088/1361-6560/ae205e,PMC12647958,https://pubmed.ncbi.nlm.nih.gov/41248557/
41237426,2025,"Decoding the chemistry of the FLASH effect: a physicochemical model of dose-rate, pH and oxygen-dependent H₂O₂ production.",Tonneau R; Rudi L; Lucas S; Heuskin AC,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology,10.1088/1361-6560/ae1fcc,,https://pubmed.ncbi.nlm.nih.gov/41237426/
41220944,2025,Supersonic gas curtain based ionization beam profile monitor for FLASH proton beam therapy.,Patel M; Kumar N; Thesni F; Butcher W; Price T; McLauchlan R; Welsch CP,Frontiers in oncology,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology; Physics & Dosimetry,10.3389/fonc.2025.1694310,PMC12597723,https://pubmed.ncbi.nlm.nih.gov/41220944/
41211429,2025,Proton boron capture therapy: microdosimetry and treatment planning study with boron.,Yoo SH; Sedliarou I; MacDiarmid JA; Brahmbhatt H; Han S; Kim KB; Tran LT; Rosenfeld AB; Kim EH; Lin YH; Tan WS; Cheah YY; Wong RX; Looi WS; Ho S; Han KB; Yeo P; Djeng SK,Frontiers in oncology,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Treatment Planning & Optimization; Beam Delivery & Technology,10.3389/fonc.2025.1615241,PMC12589801,https://pubmed.ncbi.nlm.nih.gov/41211429/
41202091,2025,FLASH Radiotherapy Enhances the Therapeutic Ratio in an Embryonic In Vivo Model of Pancreatic Carcinoma.,Giannini N; Gonnelli A; Gadducci G; Puccini P; Cavalieri A; Masturzo L; Pensavalle JH; Celentano M; Di Martino F; Di Cocco F; Scatena C; Naccarato AG; Menicagli M; Sarogni P; Frusca V; Cioni D; Aquaro GD; Voliani V; Paiar F,ACS applied materials & interfaces,Radiobiology,Radiobiology,10.1021/acsami.5c19638,PMC12635963,https://pubmed.ncbi.nlm.nih.gov/41202091/
41195279,2025,"A compact, lightweight, variable-energy cyclotron for conventional and FLASH ion beam radiotherapy.",Winklehner D; Minervini JV; Bromberg L; Forton E; Mandrillon J; Michael PC; Radovinsky A,Frontiers in oncology,Beam Delivery & Technology,Beam Delivery & Technology; Modeling & Mechanisms,10.3389/fonc.2025.1648237,PMC12583090,https://pubmed.ncbi.nlm.nih.gov/41195279/
41188952,2025,Effects and potential mechanisms of the ultra-high dose rate radiotherapy on lung injury: a review.,Li Z; Guo X; Lei X; Wang Y; He Q; Zhang P; Du L; Qu B,"Radiation oncology (London, England)",Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms; Clinical & Translational,10.1186/s13014-025-02740-6,PMC12584259,https://pubmed.ncbi.nlm.nih.gov/41188952/
41179706,2025,Ultrahigh Dose Rate Irradiation Regulates Mitochondrial DNA-induced Interferon-β Secretion via Cytochrome c Leakage.,Lv J; Sun J; Luo Y; Liu J; Wu D; Fang Y; Mourou G; Huang S; Yang G; Yan X,MedComm,Radiobiology,Radiobiology,10.1002/mco2.70457,PMC12572942,https://pubmed.ncbi.nlm.nih.gov/41179706/
41179116,2025,Molecular mechanisms underlying the abscopal effect induced by radiotherapy and its synergistic translational potential with immunotherapy.,Chen X; Yang M; Huang Y; Tu J; Cai Y; Yuan X,Therapeutic advances in medical oncology,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms,10.1177/17588359251387534,PMC12579151,https://pubmed.ncbi.nlm.nih.gov/41179116/
41178971,2025,Exploring the role of intestinal microbiota in mitigating acute radiation-induced intestinal injury through high-energy X-ray FLASH radiotherapy via metagenomic analysis.,Du H; Hao X; Lin B; Zhu Y; Yang Y; Tang M; Wu W; Wang D; Lin B; Liang Y; Tang W; Xu H; Li J; Gao F; Du X,Frontiers in microbiology,Physics & Dosimetry,Physics & Dosimetry; Radiobiology,10.3389/fmicb.2025.1601244,PMC12575193,https://pubmed.ncbi.nlm.nih.gov/41178971/
41164421,2025,A safety study of ultra-high dose rate FLASH radiotherapy in the treatment of superficial skin tumors: study protocol of a phase I trial (ChiCTR2400080935).,Yang C; Luo H; Leijie M; Mao R; Lei H; Zhang Y; Xu M; Wang Y; Wu M; Liu H; Chen P; Ge H,Precision radiation oncology,Radiobiology,Radiobiology; Clinical & Translational,10.1002/pro6.70010,PMC12559900,https://pubmed.ncbi.nlm.nih.gov/41164421/
41163974,2025,Consensus statement on the exploration of clinical translation and application of electron ultra-high dose rate FLASH radiotherapy.,Luo H; Yang C; Yue J; Ge H,Precision radiation oncology,Clinical & Translational,Clinical & Translational; Radiobiology,10.1002/pro6.70001,PMC12559927,https://pubmed.ncbi.nlm.nih.gov/41163974/
41155910,2025,Leveraging the Immune Response from LIFE Biomaterial and Photon-Flash in Pre-Clinical Pancreatic Cancer Treatment.,Moreau M; Kelly K; Mao S; China D; Wasihun G; Pandya A; Tajik-Mansoury M; Sforza D; Miles D; Narang AK; Rezaee M; Ngwa W; Ding K,Pharmaceutics,Radiobiology,Radiobiology,10.3390/pharmaceutics17101273,PMC12566649,https://pubmed.ncbi.nlm.nih.gov/41155910/
41134609,2025,A GPU-based Monte Carlo model for water radiolysis under ultra-high dose rate irradiation: Development and validation with MPEXS2.1-DNA.,Okada S; Murakami K; Kusumoto T; Amako K; Sasaki T,Medical physics,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology,10.1002/mp.70071,PMC12551771,https://pubmed.ncbi.nlm.nih.gov/41134609/
41125106,2025,Monoenergetic Bragg peak FLASH proton therapy with universal range shifter in multi-field optimization.,Zhang Q; Zeng Y; Pang B; Liu M; Chen S; Wang H; Xie Q; Deng J; Qin B; Liu X; Quan H; Chang Y; Yange Z,Physics in medicine and biology,Treatment Planning & Optimization,Treatment Planning & Optimization; Radiobiology,10.1088/1361-6560/ae1650,,https://pubmed.ncbi.nlm.nih.gov/41125106/
41121545,2025,Determining the effects of hyperthermia on the tumor and acute normal tissue response of FLASH radiation.,Sinha PM; Kristensen L; Folefac CA; Præstegaard LH; Hoffmann L; Poulsen PR; Horsman MR; Sørensen BS,"Acta oncologica (Stockholm, Sweden)",Radiobiology,Radiobiology,10.2340/1651-226X.2025.44043,PMC12556746,https://pubmed.ncbi.nlm.nih.gov/41121545/
41110805,2025,Fractionation increasingly reduces FLASH sparing for acute murine skin damage.,Kristensen L; Rohrer S; Johansen JG; Hoffmann L; Præstegaard LH; Hansen AH; Poulsen PR; Sørensen BS,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology; Beam Delivery & Technology; Clinical & Translational,10.1016/j.radonc.2025.111209,,https://pubmed.ncbi.nlm.nih.gov/41110805/
41101336,2025,A procedure for accurate dose measurement in radiotherapy research at millimetre-sized synchrotron beams.,Mewes C; Lerch M; Petasecca M; Klingenberg J; Abreu Faria G; Lienert U; Schültke E; Paino J; Cayley J; Wegner M; Fiedler S; Gargioni E,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Radiobiology; Beam Delivery & Technology,10.1088/1361-6560/ae143a,,https://pubmed.ncbi.nlm.nih.gov/41101336/
41089309,2025,"Emerging strategies in radiation therapy: promises and challenges of spatial fractionation, ultra-high dose rates, and nanoparticles.",Ghaznavi H; Rezaee M; Reynoso F; Darafsheh A,Journal of physics D: Applied physics,Reviews & Consensus,Reviews & Consensus; Radiobiology; Clinical & Translational,10.1088/1361-6463/ae0e2d,PMC12516303,https://pubmed.ncbi.nlm.nih.gov/41089309/
41087015,2025,Extracellular DNA-mediated Differential Bystander Effects Induced by FLASH or Conventional Proton Radiation.,Xu Y; Guo Z; Ding Y; Wang Q; Sui L; Zhou G; Hu W,Radiation research,Radiobiology,Radiobiology; Modeling & Mechanisms,10.1667/RADE-24-00012.1,,https://pubmed.ncbi.nlm.nih.gov/41087015/
41079109,2025,Potential effect of FLASH radiotherapy on testicular damage: a review of current evidence.,Zhi X; Du L; Han Y; Li W; Zhang P; Guo X; Wang Y; Ma N; Lei X; Qu B,Frontiers in oncology,Reviews & Consensus,Reviews & Consensus; Radiobiology,10.3389/fonc.2025.1618270,PMC12507575,https://pubmed.ncbi.nlm.nih.gov/41079109/
41075985,2025,Which 'dose rate' definition describes the FLASH sparing effect for scanned proton beams? A meta-analysis of skin murine data.,Colizzi I; Poulsen PR; Sørensen B; Meer D; Lomax AJ; Psoroulas S,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Reviews & Consensus,Reviews & Consensus; Radiobiology,10.1016/j.radonc.2025.111206,,https://pubmed.ncbi.nlm.nih.gov/41075985/
41056970,2025,Translating FLASH to the clinic: treatment planning system for a FLASH-compatible dose delivery using a novel x-ray UHDR machine.,Krim DE; Whelan B; Harkness M; Otto K; W Loo B; Bazalova-Carter M,Physics in medicine and biology,Beam Delivery & Technology,Beam Delivery & Technology; Treatment Planning & Optimization; Modeling & Mechanisms,10.1088/1361-6560/ae107b,,https://pubmed.ncbi.nlm.nih.gov/41056970/
41046471,2025,Three-dimensional proton FLASH dose rate measurement at high spatiotemporal resolution using a novel multi-layer strip ionization chamber (MLSIC) device.,Zhou S; Darafsheh A; Xiao Z; Mascia A; Zhang Y; Zhou J; Lin L; Zhang D; Shen L; Jiang H; Chen Q; Zhao T; Perkins S; Zhang T,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Treatment Planning & Optimization; Beam Delivery & Technology,10.1002/mp.70033,PMC12679469,https://pubmed.ncbi.nlm.nih.gov/41046471/
41045820,2025,Design and validation of an integrated reference dosimetry and monitoring system for ultra-high dose-rate proton beams ranging from 20 Gy/s to 230 Gy/s.,Petringa G; Catalano R; Amato A; Russo AD; Fustaino GF; Guarrera M; Cuttone G; Messina GE; Raffaele L; Pappalardo AD; Cirrone GAP,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),Physics & Dosimetry,Physics & Dosimetry; Radiobiology,10.1016/j.ejmp.2025.105187,,https://pubmed.ncbi.nlm.nih.gov/41045820/
41040806,2025,Non-invasive Reversible Software-based Configuration of a Clinically Used Linear Accelerator for Preclinical Electron FLASH Radiobiology.,Melemenidis S; Chen D; Jensen C; Schulz JB; Surucu M; Yu AS; Graves EE; Shi M; Maxim PG; Currell A; Jr BWL; Skinner L; Ashraf MR,ArXiv,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Radiobiology,,PMC12486054,https://pubmed.ncbi.nlm.nih.gov/41040806/
41040529,2025,A methodology for optimizing treatment head angle arrangement for multi-angle FLASH intensity modulated radiation therapy platforms.,Cui W; Guo C; Hu Z; Wang Y; Men K; Dai J,Frontiers in oncology,Treatment Planning & Optimization,Treatment Planning & Optimization; Radiobiology,10.3389/fonc.2025.1628281,PMC12483917,https://pubmed.ncbi.nlm.nih.gov/41040529/
